,_id,ltable_id,rtable_movieId,ltable_movie_title,ltable_title_year,ltable_genres,rtable_title,rtable_year,rtable_genres,label
170,727386,2710,5380,the importance of being earnest,2002,comedy|drama|romance,"Importance of Being Earnest, The",2002,Comedy|Drama|Romance,1
343,1217,3219,68265,shaolin soccer,2001,action|comedy|sport,"Days Between, The (In den Tag hinein)",2001,Drama,0
144,647221,881,30816,the phantom of the opera,2004,drama|musical|romance|thriller,"Phantom of the Opera, The",2004,Drama|Musical|Romance,1
132,611655,4925,118920,butterfly girl,2014,documentary,Butterfly Girl,2014,Documentary,1
12,70358,354,3114,toy story 2,1999,adventure|animation|comedy|family|fantasy,Toy Story 2,1999,Adventure|Animation|Children|Comedy|Fantasy,1
327,1117,4841,7454,fighting tommy riley,2004,drama|sport,Van Helsing,2004,Action|Adventure|Fantasy|Horror,0
173,736248,5004,79723,the exploding girl,2009,drama,"Exploding Girl, The",2009,Drama,1
224,249,1443,84116,the back-up plan,2010,comedy|romance,Poetry (Shi),2010,Drama,0
342,1214,3054,68265,frailty,2001,crime|drama|thriller,"Days Between, The (In den Tag hinein)",2001,Drama,0
78,405802,3713,107769,paranormal activity: the marked ones,2014,fantasy|horror|thriller,Paranormal Activity: The Marked Ones,2014,Horror|Thriller,1
276,717,4747,103816,deceptive practice: the mysteries and mentors of ricky jay,2012,documentary,"Battery, The",2012,Drama|Horror,0
387,1499,3639,93492,snow flower and the secret fan,2011,drama|history,Like Water,2011,Documentary,0
425,1849,2596,5480,ararat,2002,drama|war,Stuart Little 2,2002,Children|Comedy,0
301,884,1573,115963,going the distance,2010,comedy|romance,The Stoker,2010,Crime|Drama,0
196,831564,1680,8799,little black book,2004,comedy|drama|romance,Little Black Book,2004,Comedy|Romance,1
10,65018,1992,30896,underclassman,2005,action|comedy|crime|drama|thriller,Underclassman,2005,Action|Comedy|Thriller,1
469,2243,4377,5957,may,2002,drama|horror,Two Weeks Notice,2002,Comedy|Romance,0
271,700,4362,103816,beasts of the southern wild,2012,drama|fantasy,"Battery, The",2012,Drama|Horror,0
75,388390,4409,86624,"a woman, a gun and a noodle shop",2009,comedy|drama,"Woman, a Gun and a Noodle Shop, A (San qiang pai an jing qi)",2009,Comedy|Drama,1
142,645229,1601,47,se7en,1995,crime|drama|mystery|thriller,Seven (a.k.a. Se7en),1995,Mystery|Thriller,1
65,326636,2861,4759,two can play that game,2001,comedy|romance,Two Can Play That Game,2001,Comedy|Drama,1
340,1201,2724,68265,mulholland drive,2001,drama|mystery|thriller,"Days Between, The (In den Tag hinein)",2001,Drama,0
484,2371,3945,96817,trust,2010,crime|drama|thriller,Boxing Gym,2010,Documentary,0
175,750428,3680,6868,wonderland,2003,crime|drama|mystery|thriller,Wonderland,2003,Crime|Drama|Mystery|Thriller,1
362,1366,4259,90430,silent house,2011,drama|horror|mystery|thriller,Carnage,2011,Comedy|Drama,0
264,654,2683,103816,killing them softly,2012,crime|thriller,"Battery, The",2012,Drama|Horror,0
100,493580,2667,515,the remains of the day,1993,drama|romance,"Remains of the Day, The",1993,Drama|Romance,1
491,2400,4801,96817,i want your money,2010,documentary,Boxing Gym,2010,Documentary,0
295,857,294,115963,little fockers,2010,comedy|romance,The Stoker,2010,Crime|Drama,0
300,880,1408,115963,true grit,2010,adventure|drama|western,The Stoker,2010,Crime|Drama,0
235,346,4525,84116,the dead undead,2010,action|horror|sci-fi,Poetry (Shi),2010,Drama,0
475,2308,1949,96817,dear john,2010,drama|romance|war,Boxing Gym,2010,Documentary,0
219,229,453,84116,shutter island,2010,mystery|thriller,Poetry (Shi),2010,Drama,0
330,1133,282,68265,town & country,2001,comedy|romance,"Days Between, The (In den Tag hinein)",2001,Drama,0
326,1114,4790,7454,as it is in heaven,2004,comedy|drama|music|romance,Van Helsing,2004,Action|Adventure|Fantasy|Horror,0
421,1818,1449,5480,the pianist,2002,biography|drama|war,Stuart Little 2,2002,Children|Comedy,0
157,695500,922,74851,from paris with love,2010,action|thriller,From Paris with Love,2010,Action|Crime,1
348,1265,515,90430,jack and jill,2011,comedy,Carnage,2011,Comedy|Drama,0
54,269374,2398,37720,the exorcism of emily rose,2005,drama|horror|thriller,"Exorcism of Emily Rose, The",2005,Crime|Drama|Horror|Thriller,1
220,231,608,84116,wall street: money never sleeps,2010,drama,Poetry (Shi),2010,Drama,0
402,1616,2275,106450,crank: high voltage,2009,action|crime|sci-fi|thriller,Chicago Overcoat,2009,Action|Drama,0
379,1458,1969,93492,shark night 3d,2011,horror|thriller,Like Water,2011,Documentary,0
200,16,530,49130,ice age: the meltdown,2006,action|adventure|animation|comedy|family|fantasy,"Good Year, A",2006,Comedy|Drama|Romance,0
179,775805,4052,3865,the original kings of comedy,2000,comedy|documentary,"Original Kings of Comedy, The",2000,Comedy|Documentary,1
372,1426,1018,93492,your highness,2011,adventure|comedy|fantasy,Like Water,2011,Documentary,0
56,283348,1145,5184,heaven's gate,1980,adventure|drama|western,Heaven's Gate,1980,Western,1
440,1970,1129,101715,miracle at st. anna,2008,action|crime|drama|thriller|war,Loaded,2008,Action|Crime|Drama|Thriller,0
60,299792,513,5630,red dragon,2002,crime|drama|thriller,Red Dragon,2002,Crime|Mystery|Thriller,1
