lid,rid,title,year,genres
60,54648,Rush Hour 3,2007,comedy|crime|thriller|action
61,72378,2012,2009,sci-fi|thriller|action|drama|adventure
62,69134,Antichrist,2009,animation|family|drama|fantasy
63,113345,Jupiter Ascending,2015,sci-fi|adventure|action
64,,the legend of tarzan,2016,action|adventure|drama|romance
65,41566,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",2005,fantasy|family|children|adventure
66,,x-men: apocalypse,2016,action|adventure|sci-fi
67,58559,"Dark Knight, The",2008,crime|thriller|imax|action|drama
68,67193,Duplicity,2009,animation|crime|romance|thriller|family|adventure|comedy
69,67408,Monsters vs. Aliens,2009,animation|sci-fi|action|imax|family|adventure|comedy
70,59315,Iron Man,2008,sci-fi|adventure|action
71,86293,Arthur,2011,mystery|family|drama|adventure|comedy
72,2701,Wild Wild West,1999,sci-fi|western|comedy|action
73,60937,"Mummy: Tomb of the Dragon Emperor, The",2008,horror|thriller|action|fantasy|adventure
74,,suicide squad,2016,action|adventure|comedy|sci-fi
75,53993,Evan Almighty,2007,family|fantasy|comedy
76,111759,Edge of Tomorrow,2014,imax|sci-fi|adventure|action
77,208,Waterworld,1995,sci-fi|thriller|adventure|action
78,70336,G.I. Joe: The Rise of Cobra,2009,sci-fi|thriller|adventure|action
79,,inside out,2015,adventure|animation|comedy|drama|family|fantasy
80,,the jungle book,2016,adventure|drama|family|fantasy
81,77561,Iron Man 2,2010,sci-fi|thriller|imax|action|adventure
82,98243,Rise of the Guardians,2012,animation|action|imax|fantasy|drama|adventure
83,,maleficent,2014,action|adventure|family|fantasy|romance
84,112279,Doc of the Dead,2014,sci-fi|action|documentary|drama|adventure
85,127122,Last Days in the Desert,2015,sci-fi|romance|action|drama|adventure
86,106491,47 Ronin,2013,fantasy|drama|adventure|action
87,110102,Captain America: The Winter Soldier,2014,imax|sci-fi|adventure|action
88,78637,Shrek Forever After (a.k.a. Shrek: The Final Chapter),2010,animation|imax|fantasy|family|children|adventure|comedy
89,,tomorrowland,2015,action|adventure|family|mystery|sci-fi
90,115617,Big Hero 6,2014,animation|sci-fi|action|family|drama|adventure|comedy
91,97913,Wreck-It Ralph,2012,animation|sci-fi|family|adventure|comedy
92,8965,"Polar Express, The",2004,animation|imax|fantasy|family|children|adventure
93,,independence day: resurgence,2016,action|adventure|sci-fi
94,76093,How to Train Your Dragon,2010,animation|imax|fantasy|family|children|adventure
95,6537,Terminator 3: Rise of the Machines,2003,sci-fi|adventure|action
96,112112,Back in the Day,2014,comedy|sci-fi|adventure|action
97,109191,Winter's Tale,2014,sci-fi|mystery|fantasy|drama|adventure
98,80834,Sintel,2010,animation|sci-fi|thriller|action|fantasy|adventure
99,,godzilla resurgence,2016,action|adventure|drama|horror|sci-fi
