_id,ltable_id,rtable_movieId,ltable_movie_title,ltable_title_year,ltable_genres,rtable_title,rtable_year,rtable_genres,label
106096,4301,33725,it's all gone pete tong,2004,biography|comedy|drama|music,It's All Gone Pete Tong,2004,Comedy|Drama|Musical,1
114522,4897,1060,swingers,1996,comedy|drama,Swingers,1996,Comedy|Drama,1
116762,912,5989,catch me if you can,2002,biography|crime|drama,Catch Me If You Can,2002,Crime|Drama,1
118999,2812,115824,mr. turner,2014,biography|drama|history,Mr. Turner,2014,Drama,1
122877,3467,858,the godfather,1972,crime|drama,"Godfather, The",1972,Crime|Drama,1
124236,888,8782,thunderbirds,2004,action|adventure|comedy|family|sci-fi,Thunderbirds,2004,Action|Adventure|Fantasy|Sci-Fi,1
139370,1537,1210,star wars: episode vi - return of the jedi,1983,action|adventure|fantasy|sci-fi,Star Wars: Episode VI - Return of the Jedi,1983,Action|Adventure|Sci-Fi,1
142612,1821,1804,the newton boys,1998,action|crime|drama|history|western,"Newton Boys, The",1998,Crime|Drama,1
143720,4743,5467,never again,2001,comedy|romance,Never Again,2001,Comedy|Romance,1
148222,257,130490,insurgent,2015,adventure|sci-fi|thriller,Insurgent,2015,Action|Romance|Sci-Fi,1
151076,1878,7369,scooby-doo 2: monsters unleashed,2004,adventure|comedy|family|fantasy|horror|mystery,Scooby-Doo 2: Monsters Unleashed,2004,Action|Adventure|Children|Comedy|Mystery,1
151778,861,3258,death becomes her,1992,comedy|fantasy|horror,Death Becomes Her,1992,Comedy|Fantasy,1
158550,830,653,dragonheart,1996,action|adventure|fantasy,Dragonheart,1996,Action|Adventure|Fantasy,1
165773,1823,8831,suspect zero,2004,crime|drama|mystery|thriller,Suspect Zero,2004,Crime|Thriller,1
165942,3028,116893,trash,2014,adventure|crime|drama|mystery|thriller,Trash,2014,Adventure|Crime|Drama|Thriller,1
168318,1086,4776,training day,2001,crime|drama|thriller,Training Day,2001,Crime|Drama|Thriller,1
173467,4020,123553,in the name of the king: the last job,2014,action|adventure|fantasy|thriller,In the Name of the King III,2014,Action|Adventure|Drama|Fantasy,1
174816,2028,3108,the fisher king,1991,comedy|drama|fantasy,"Fisher King, The",1991,Comedy|Drama|Fantasy|Romance,1
176238,3695,1286,somewhere in time,1980,drama|fantasy|romance,Somewhere in Time,1980,Drama|Romance,1
178292,4179,899,singin' in the rain,1952,comedy|musical|romance,Singin' in the Rain,1952,Comedy|Musical|Romance,1
183216,2061,4821,joy ride,2001,mystery|thriller,Joy Ride,2001,Adventure|Thriller,1
185668,4269,7285,thirteen,2003,drama,Thirteen,2003,Drama,1
187199,357,3798,what lies beneath,2000,drama|fantasy|horror|mystery|thriller,What Lies Beneath,2000,Drama|Horror|Mystery,1
187565,3685,113300,r100,2013,comedy|drama,R100,2013,Comedy|Drama,1
192179,1023,81641,fair game,2010,biography|drama|thriller,Fair Game,2010,Drama|Thriller,1
193387,1194,7161,cheaper by the dozen,2003,comedy|family,Cheaper by the Dozen,2003,Children|Comedy,1
202346,4459,2542,"lock, stock and two smoking barrels",1998,comedy|crime,"Lock, Stock & Two Smoking Barrels",1998,Comedy|Crime|Thriller,1
209689,1066,4639,america's sweethearts,2001,comedy|romance,America's Sweethearts,2001,Comedy|Romance,1
222328,3375,497,much ado about nothing,1993,comedy|drama|romance,Much Ado About Nothing,1993,Comedy|Romance,1
225188,1779,151,rob roy,1995,adventure|biography,Rob Roy,1995,Action|Drama|Romance|War,1
228045,2536,17,sense and sensibility,1995,drama|romance,Sense and Sensibility,1995,Drama|Romance,1
232471,4298,57910,teeth,2007,comedy|fantasy|horror|thriller,Teeth,2007,Comedy|Horror,1
234309,1014,129937,run all night,2015,action|crime|drama|thriller,Run All Night,2015,Action|Crime|Drama|Mystery|Thriller,1
235642,377,3826,hollow man,2000,action|horror|sci-fi|thriller,Hollow Man,2000,Horror|Sci-Fi|Thriller,1
261559,1793,104241,kick-ass 2,2013,action|comedy|crime,Kick-Ass 2,2013,Action|Comedy|Crime,1
267546,4051,778,trainspotting,1996,drama,Trainspotting,1996,Comedy|Crime|Drama,1
269374,2398,37720,the exorcism of emily rose,2005,drama|horror|thriller,"Exorcism of Emily Rose, The",2005,Crime|Drama|Horror|Thriller,1
282641,1612,266,legends of the fall,1994,drama|romance|war|western,Legends of the Fall,1994,Drama|Romance|War|Western,1
283348,1145,5184,heaven's gate,1980,adventure|drama|western,Heaven's Gate,1980,Western,1
286336,3345,74787,my name is khan,2010,adventure|drama|thriller,My Name is Khan,2010,Drama|Romance,1
293494,1227,78209,get him to the greek,2010,comedy|music,Get Him to the Greek,2010,Comedy,1
294490,1432,72696,old dogs,2009,comedy|family,Old Dogs,2009,Comedy,1
299792,513,5630,red dragon,2002,crime|drama|thriller,Red Dragon,2002,Crime|Mystery|Thriller,1
303044,3299,6295,chasing papi,2003,comedy|romance,Chasing Papi (a.k.a. Papi Chulo),2003,Comedy,1
306298,4713,2703,broken vessels,1998,drama,Broken Vessels,1998,Drama,1
312315,2743,5020,silent trigger,1996,action|drama|thriller,Silent Trigger,1996,Action|Drama,1
315565,2162,1388,jaws 2,1978,adventure|horror|thriller,Jaws 2,1978,Horror|Thriller,1
326636,2861,4759,two can play that game,2001,comedy|romance,Two Can Play That Game,2001,Comedy|Drama,1
347522,1946,1840,he got game,1998,drama|sport,He Got Game,1998,Drama,1
357275,3700,5785,jackass: the movie,2002,comedy|documentary,Jackass: The Movie,2002,Action|Comedy|Documentary,1
357756,445,49647,charlotte's web,2006,comedy|family|fantasy,Charlotte's Web,2006,Children|Comedy|Drama|Fantasy,1
361955,3096,2485,she's all that,1999,comedy|romance,She's All That,1999,Comedy|Romance,1
362536,1705,7449,godsend,2004,drama|horror|sci-fi|thriller,Godsend,2004,Drama|Horror|Thriller,1
367603,2158,6212,bringing down the house,2003,comedy,Bringing Down the House,2003,Comedy,1
369767,2029,2338,i still know what you did last summer,1998,horror|mystery,I Still Know What You Did Last Summer,1998,Horror|Mystery|Thriller,1
382425,108,53121,shrek the third,2007,adventure|animation|comedy|family|fantasy,Shrek the Third,2007,Adventure|Animation|Children|Comedy|Fantasy,1
387220,1314,4240,just visiting,2001,comedy|fantasy|sci-fi,Just Visiting,2001,Comedy|Fantasy,1
388390,4409,86624,"a woman, a gun and a noodle shop",2009,comedy|drama,"Woman, a Gun and a Noodle Shop, A (San qiang pai an jing qi)",2009,Comedy|Drama,1
395204,2095,40614,derailed,2005,drama|thriller,Derailed,2005,Drama|Thriller,1
396045,907,48783,flags of our fathers,2006,drama|history|war,Flags of Our Fathers,2006,Drama|War,1
405802,3713,107769,paranormal activity: the marked ones,2014,fantasy|horror|thriller,Paranormal Activity: The Marked Ones,2014,Horror|Thriller,1
405975,4063,2530,beneath the planet of the apes,1970,action|adventure|sci-fi,Beneath the Planet of the Apes,1970,Action|Sci-Fi,1
412191,203,4896,harry potter and the sorcerer's stone,2001,adventure|family|fantasy,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),2001,Adventure|Children|Fantasy,1
415885,3396,3909,woman on top,2000,comedy|fantasy|romance,Woman on Top,2000,Comedy|Romance,1
416020,3446,58146,witless protection,2008,comedy|crime,Witless Protection,2008,Comedy,1
422732,4115,96565,bachelorette,2012,comedy|romance,Bachelorette,2012,Comedy,1
424278,3927,2809,love stinks,1999,comedy,Love Stinks,1999,Comedy,1
425631,1576,1959,out of africa,1985,biography|drama|romance,Out of Africa,1985,Drama|Romance,1
425663,4048,2947,goldfinger,1964,action|adventure|thriller,Goldfinger,1964,Action|Adventure|Thriller,1
430804,2824,128975,hot tub time machine 2,2015,comedy|sci-fi,Hot Tub Time Machine 2,2015,Comedy|Sci-Fi,1
448795,4438,102802,the lords of salem,2012,drama|fantasy|horror|thriller,"Lords of Salem, The",2012,Horror|Thriller,1
456411,4557,2171,next stop wonderland,1998,comedy|drama|romance,Next Stop Wonderland,1998,Comedy|Drama|Romance,1
457561,4831,6881,pieces of april,2003,comedy|drama,Pieces of April,2003,Comedy|Drama,1
471707,1842,3686,flatliners,1990,drama|horror|sci-fi|thriller,Flatliners,1990,Horror|Sci-Fi|Thriller,1
471764,1201,3273,scream 3,2000,horror|mystery,Scream 3,2000,Comedy|Horror|Mystery|Thriller,1
471958,2349,105217,zambezia,2012,adventure|animation|comedy|family,Adventures in Zambezia,2012,Adventure|Animation|Children|Comedy,1
475651,837,356,forrest gump,1994,comedy|drama,Forrest Gump,1994,Comedy|Drama|Romance|War,1
476885,831,8968,after the sunset,2004,action|comedy|crime|drama,After the Sunset,2004,Action|Adventure|Comedy|Crime|Thriller,1
478421,1137,120222,foodfight!,2012,action|animation|comedy|family|fantasy,Foodfight!,2012,Action|Animation|Children|Comedy,1
481163,2687,57970,u2 3d,2007,documentary|music,U2 3D,2007,Documentary|IMAX,1
481288,2119,52042,black book,2006,drama|thriller|war,Black Book (Zwartboek),2006,Drama|Thriller|War,1
487794,4543,3864,godzilla 2000,1999,action|adventure|drama|sci-fi|thriller,Godzilla 2000 (Gojira ni-sen mireniamu),1999,Action|Adventure|Sci-Fi,1
493580,2667,515,the remains of the day,1993,drama|romance,"Remains of the Day, The",1993,Drama|Romance,1
494773,60,54648,rush hour 3,2007,action|comedy|crime|thriller,Rush Hour 3,2007,Action|Comedy|Crime|Thriller,1
495534,2967,105715,just wright,2010,comedy|romance|sport,Just Wright,2010,Comedy|Romance,1
503122,1184,93287,the big year,2011,comedy,"Big Year, The",2011,Comedy,1
506963,4133,112450,they came together,2014,comedy,They Came Together,2014,Comedy|Romance,1
519941,3621,70641,miss march,2009,comedy|romance,Miss March,2009,Comedy,1
520509,4156,910,some like it hot,1959,comedy|music|romance,Some Like It Hot,1959,Comedy|Crime,1
525675,1161,4274,cleopatra,1963,biography|drama|history|romance,Cleopatra,1963,Drama|Romance,1
527543,4613,69159,jimmy and judy,2006,crime|drama|thriller,Jimmy and Judy,2006,Crime|Drama|Thriller,1
537535,69,67408,monsters vs. aliens,2009,action|adventure|animation|comedy|family|sci-fi,Monsters vs. Aliens,2009,Animation|Sci-Fi|IMAX,1
543503,3980,77788,the good heart,2009,drama,"Good Heart, The",2009,Drama,1
543946,4749,97868,the other dream team,2012,documentary|sport,"Other Dream Team, The",2012,Documentary,1
544402,2762,39869,manderlay,2005,drama,Manderlay,2005,Drama,1
547656,4204,86846,eye of the dolphin,2006,comedy|drama|family,Eye of the Dolphin,2006,Children|Drama,1
555794,3873,129845,falcon rising,2014,action|adventure,Falcon Rising,2014,Action|Adventure,1
556951,351,15,cutthroat island,1995,action|adventure|comedy,Cutthroat Island,1995,Action|Adventure|Romance,1
559986,1332,50802,because i said so,2007,comedy|romance,Because I Said So,2007,Comedy|Drama|Romance,1
560966,1502,3761,"blood in, blood out",1993,crime|drama,"Bound by Honor (a.k.a. Blood In, Blood Out)",1993,Action|Crime|Drama|Thriller,1
565089,2322,68848,the brothers bloom,2008,adventure|comedy|drama|romance,"Brothers Bloom, The",2008,Adventure|Comedy|Crime|Romance,1
566693,743,89470,contagion,2011,drama|thriller,Contagion,2011,Sci-Fi|Thriller|IMAX,1
569575,1339,61026,red cliff,2008,action|adventure|drama|history|war,Red Cliff (Chi bi),2008,Action|Adventure|Drama|War,1
570635,1571,110229,george and the dragon,2004,action|adventure|comedy|fantasy|romance,George and the Dragon,2004,Action|Adventure|Children|Comedy|Fantasy,1
573655,716,112556,gone girl,2014,crime|drama|mystery|thriller,Gone Girl,2014,Drama|Thriller,1
577959,799,4866,the last castle,2001,action|drama|thriller,"Last Castle, The",2001,Action,1
583099,4853,1639,chasing amy,1997,comedy|drama|romance,Chasing Amy,1997,Comedy|Drama|Romance,1
584367,1301,8948,alfie,2004,comedy|drama|romance,Alfie,2004,Comedy|Drama|Romance,1
587231,2501,2296,a night at the roxbury,1998,comedy|music|romance,"Night at the Roxbury, A",1998,Comedy,1
588187,182,84944,rango,2011,adventure|animation|comedy|family|western,Rango,2011,Action|Adventure|Animation|Children|Comedy|Western,1
591570,1487,5016,the shipping news,2001,drama,"Shipping News, The",2001,Drama,1
592598,2410,7451,mean girls,2004,comedy,Mean Girls,2004,Comedy,1
592677,2765,597,pretty woman,1990,comedy|romance,Pretty Woman,1990,Comedy|Romance,1
599531,3993,6852,in cold blood,1967,biography|crime|drama|history,In Cold Blood,1967,Crime|Drama,1
611655,4925,118920,butterfly girl,2014,documentary,Butterfly Girl,2014,Documentary,1
618360,2087,105,the bridges of madison county,1995,drama|romance,"Bridges of Madison County, The",1995,Drama|Romance,1
618869,2477,66659,madea goes to jail,2009,comedy|crime|drama,Tyler Perry's Madea Goes to Jail,2009,Comedy|Crime|Drama,1
620734,4840,2127,"first love, last rites",1997,drama|romance,"First Love, Last Rites",1997,Drama|Romance,1
622838,2688,3889,highlander: endgame,2000,action|adventure|fantasy|sci-fi,Highlander: Endgame (Highlander IV),2000,Action|Adventure|Fantasy,1
624517,1765,106330,last vegas,2013,comedy|romance,Last Vegas,2013,Comedy|Drama|Romance,1
626164,2159,593,the silence of the lambs,1991,crime|drama|horror|thriller,"Silence of the Lambs, The",1991,Crime|Horror|Thriller,1
629546,3683,89535,le havre,2011,comedy|drama,"Havre, Le",2011,Comedy|Drama,1
630931,3473,2991,live and let die,1973,action|adventure|thriller,Live and Let Die,1973,Action|Adventure|Thriller,1
640561,3382,69253,new in town,2009,comedy|romance,New in Town,2009,Comedy|Romance,1
645229,1601,47,se7en,1995,crime|drama|mystery|thriller,Seven (a.k.a. Se7en),1995,Mystery|Thriller,1
645848,1838,7004,kindergarten cop,1990,action|comedy|crime,Kindergarten Cop,1990,Action|Comedy|Crime|Thriller,1
647221,881,30816,the phantom of the opera,2004,drama|musical|romance|thriller,"Phantom of the Opera, The",2004,Drama|Musical|Romance,1
656412,3787,114013,atlas shrugged: who is john galt?,2014,drama|mystery|sci-fi,Atlas Shrugged: Who Is John Galt? (Atlas Shrugged: Part III),2014,Drama|Mystery|Sci-Fi,1
658307,2592,116207,zulu,2013,crime|drama|thriller,Zulu,2013,Crime|Drama|Thriller,1
658712,2180,95670,madea's witness protection,2012,comedy|crime|drama,Tyler Perry's Madea's Witness Protection,2012,Comedy,1
663262,3826,90057,take shelter,2011,drama|thriller,Take Shelter,2011,Drama,1
668445,2862,113071,earth to echo,2014,adventure|family|sci-fi,Earth to Echo,2014,Adventure|Children|Sci-Fi,1
678022,2537,51834,becoming jane,2007,biography|drama|romance,Becoming Jane,2007,Drama|Romance,1
678512,2128,55276,michael clayton,2007,crime|drama|mystery|thriller,Michael Clayton,2007,Drama|Thriller,1
681726,3539,124332,snow queen,2012,adventure|animation|family,Snow Queen,2012,Animation|Fantasy,1
686604,2990,5845,the pursuit of d.b. cooper,1981,adventure|crime|thriller,"Pursuit of D.B. Cooper, The (a.k.a. Pursuit)",1981,Adventure,1
690862,5016,6978,slacker,1991,comedy|drama,Slacker,1991,Comedy|Drama,1
693067,812,34536,the great raid,2005,action|drama|war,The Great Raid,2005,Action|Drama|War,1
694290,2538,54734,sydney white,2007,comedy|romance,Sydney White,2007,Comedy,1
695500,922,74851,from paris with love,2010,action|thriller,From Paris with Love,2010,Action|Crime,1
696900,1009,2761,the iron giant,1999,action|adventure|animation|comedy|drama|family|sci-fi,"Iron Giant, The",1999,Adventure|Animation|Children|Drama|Sci-Fi,1
699831,4168,25890,a guy named joe,1943,drama|fantasy|romance|war,"Guy Named Joe, A",1943,Drama|Fantasy|Romance|War,1
703572,1017,3053,the messenger: the story of joan of arc,1999,adventure|biography|drama|history|war,"Messenger: The Story of Joan of Arc, The",1999,Drama|War,1
706711,4215,47997,idiocracy,2006,adventure|comedy|sci-fi,Idiocracy,2006,Adventure|Comedy|Sci-Fi|Thriller,1
707520,862,3624,shanghai noon,2000,action|adventure|comedy|western,Shanghai Noon,2000,Action|Adventure|Comedy|Western,1
709609,2770,1020,cool runnings,1993,adventure|comedy|family|sport,Cool Runnings,1993,Comedy,1
715161,1128,1762,deep rising,1998,action|adventure|horror|sci-fi,Deep Rising,1998,Action|Horror|Sci-Fi,1
715989,848,158,casper,1995,comedy|family|fantasy,Casper,1995,Adventure|Children,1
717283,1567,101283,the incredible burt wonderstone,2013,comedy,"Incredible Burt Wonderstone, The",2013,Comedy,1
721640,4915,55908,the man from earth,2007,drama|romance|sci-fi,"Man from Earth, The",2007,Drama|Sci-Fi,1
723211,931,1393,jerry maguire,1996,comedy|drama|romance|sport,Jerry Maguire,1996,Drama|Romance,1
726026,2300,6245,sweet charity,1969,comedy|drama|music|musical|romance,Sweet Charity,1969,Comedy|Drama|Musical|Romance,1
727386,2710,5380,the importance of being earnest,2002,comedy|drama|romance,"Importance of Being Earnest, The",2002,Comedy|Drama|Romance,1
732883,1545,45666,nacho libre,2006,comedy|family|sport,Nacho Libre,2006,Comedy,1
733026,2474,2373,red sonja,1985,action|adventure|fantasy,Red Sonja,1985,Action|Adventure|Fantasy,1
736248,5004,79723,the exploding girl,2009,drama,"Exploding Girl, The",2009,Drama,1
741647,3610,94896,bernie,2011,comedy|crime|drama,Bernie,2011,Comedy|Crime|Drama,1
750428,3680,6868,wonderland,2003,crime|drama|mystery|thriller,Wonderland,2003,Crime|Drama|Mystery|Thriller,1
752000,165,34334,stealth,2005,action|adventure|sci-fi|thriller,Stealth,2005,Action|Adventure|Sci-Fi|Thriller,1
764637,1938,318,the shawshank redemption,1994,crime|drama,"Shawshank Redemption, The",1994,Crime|Drama,1
767658,3149,5199,the long riders,1980,western,"Long Riders, The",1980,Western,1
775805,4052,3865,the original kings of comedy,2000,comedy|documentary,"Original Kings of Comedy, The",2000,Comedy|Documentary,1
777212,3340,126548,the duff,2015,comedy,The DUFF,2015,Comedy,1
781213,2314,31424,alone in the dark,2005,horror|sci-fi,Alone in the Dark,2005,Action|Horror|Sci-Fi|Thriller,1
783762,3759,8366,saved!,2004,comedy|drama,Saved!,2004,Comedy|Drama,1
783824,570,66509,funny people,2009,comedy|drama,Funny People,2009,Comedy|Drama,1
785787,1686,1769,the replacement killers,1998,action|crime|thriller,"Replacement Killers, The",1998,Action|Crime|Thriller,1
788773,2643,6298,malibu's most wanted,2003,comedy|crime,Malibu's Most Wanted,2003,Comedy|Crime,1
789796,1504,5809,femme fatale,2002,crime|drama|mystery|thriller,Femme Fatale,2002,Crime|Thriller,1
801107,1016,37853,into the blue,2005,action|adventure|crime|thriller,Into the Blue,2005,Action|Adventure|Crime|Thriller,1
801628,4647,101529,the brass teapot,2012,comedy|fantasy|thriller,"Brass Teapot, The",2012,Comedy|Fantasy|Thriller,1
807903,2464,5329,the salton sea,2002,crime|drama|mystery|thriller,"Salton Sea, The",2002,Crime|Drama|Thriller,1
811240,4079,2623,trippin',1999,comedy,Trippin',1999,Comedy,1
813260,2914,4519,the land before time,1988,adventure|animation|family,"Land Before Time, The",1988,Adventure|Animation|Children|Fantasy,1
818841,582,5502,signs,2002,drama|sci-fi|thriller,Signs,2002,Horror|Sci-Fi|Thriller,1
826465,927,72407,the twilight saga: new moon,2009,adventure|drama|fantasy|romance,"Twilight Saga: New Moon, The",2009,Drama|Fantasy|Horror|Romance|Thriller,1
828750,1998,63033,blindness,2008,drama|mystery|sci-fi|thriller,Blindness,2008,Drama|Mystery|Romance|Thriller,1
830856,2370,90914,the devil's double,2011,biography|drama|thriller,"Devil's Double, The",2011,Action|Drama,1
831564,1680,8799,little black book,2004,comedy|drama|romance,Little Black Book,2004,Comedy|Romance,1
831874,237,33493,star wars: episode iii - revenge of the sith,2005,action|adventure|fantasy|sci-fi,Star Wars: Episode III - Revenge of the Sith,2005,Action|Adventure|Sci-Fi,1
833169,3206,5994,nicholas nickleby,2002,drama|romance,Nicholas Nickleby,2002,Drama|Romance,1
837034,3644,59684,lake of fire,2006,documentary,Lake of Fire,2006,Documentary,1
16,530,49130,ice age: the meltdown,2006,action|adventure|animation|comedy|family|fantasy,"Good Year, A",2006,Comedy|Drama|Romance,0
23,748,49130,the shaggy dog,2006,comedy|family|fantasy,"Good Year, A",2006,Comedy|Drama|Romance,0
34,1130,49130,curse of the golden flower,2006,drama|romance,"Good Year, A",2006,Comedy|Drama|Romance,0
40,1319,49130,alex rider: operation stormbreaker,2006,action|adventure|family|thriller,"Good Year, A",2006,Comedy|Drama|Romance,0
59,2200,49130,man of the year,2006,comedy|drama|romance|thriller,"Good Year, A",2006,Comedy|Drama|Romance,0
69,2497,49130,smokin' aces,2006,action|crime|drama|thriller,"Good Year, A",2006,Comedy|Drama|Romance,0
81,2705,49130,black snake moan,2006,drama|music,"Good Year, A",2006,Comedy|Drama|Romance,0
83,2807,49130,catch a fire,2006,biography|drama|history,"Good Year, A",2006,Comedy|Drama|Romance,0
96,3269,49130,volver,2006,comedy|crime|drama|mystery,"Good Year, A",2006,Comedy|Drama|Romance,0
114,3841,49130,out of the blue,2006,crime|drama,"Good Year, A",2006,Comedy|Drama|Romance,0
121,4082,49130,phat girlz,2006,comedy,"Good Year, A",2006,Comedy|Drama|Romance,0
169,848,212,casper,1995,comedy|family|fantasy,Bushwhacked,1995,Adventure|Comedy|Crime|Mystery,0
173,1022,212,the scarlet letter,1995,drama|romance,Bushwhacked,1995,Adventure|Comedy|Crime|Mystery,0
174,1026,212,jade,1995,crime|drama|thriller,Bushwhacked,1995,Adventure|Comedy|Crime|Mystery,0
175,1108,212,the indian in the cupboard,1995,drama|family|fantasy,Bushwhacked,1995,Adventure|Comedy|Crime|Mystery,0
184,1779,212,rob roy,1995,adventure|biography,Bushwhacked,1995,Adventure|Comedy|Crime|Mystery,0
220,202,84116,megamind,2010,action|animation|comedy|family|sci-fi,Poetry (Shi),2010,Drama,0
225,313,84116,legend of the guardians: the owls of ga'hoole,2010,action|adventure|animation|family|fantasy,Poetry (Shi),2010,Drama,0
227,352,84116,percy jackson & the olympians: the lightning thief,2010,adventure|family|fantasy,Poetry (Shi),2010,Drama,0
229,453,84116,shutter island,2010,mystery|thriller,Poetry (Shi),2010,Drama,0
231,608,84116,wall street: money never sleeps,2010,drama,Poetry (Shi),2010,Drama,0
234,782,84116,edge of darkness,2010,crime|drama|mystery|thriller,Poetry (Shi),2010,Drama,0
235,825,84116,resident evil: afterlife,2010,action|adventure|horror|sci-fi,Poetry (Shi),2010,Drama,0
244,1271,84116,morning glory,2010,comedy|drama|romance,Poetry (Shi),2010,Drama,0
249,1443,84116,the back-up plan,2010,comedy|romance,Poetry (Shi),2010,Drama,0
262,2047,84116,faster,2010,action|crime|drama|thriller,Poetry (Shi),2010,Drama,0
276,2651,84116,clash of the titans,2010,action|adventure|fantasy,Poetry (Shi),2010,Drama,0
296,3232,84116,blood done sign my name,2010,drama,Poetry (Shi),2010,Drama,0
311,3534,84116,ca$h,2010,comedy|crime|thriller,Poetry (Shi),2010,Drama,0
313,3771,84116,sea rex 3d: journey to a prehistoric world,2010,documentary,Poetry (Shi),2010,Drama,0
317,3838,84116,the names of love,2010,comedy|drama|romance,Poetry (Shi),2010,Drama,0
321,3945,84116,trust,2010,crime|drama|thriller,Poetry (Shi),2010,Drama,0
331,4209,84116,super,2010,comedy|crime|drama,Poetry (Shi),2010,Drama,0
334,4271,84116,winter's bone,2010,drama,Poetry (Shi),2010,Drama,0
335,4275,84116,inside job,2010,crime|documentary,Poetry (Shi),2010,Drama,0
346,4525,84116,the dead undead,2010,action|horror|sci-fi,Poetry (Shi),2010,Drama,0
350,4801,84116,i want your money,2010,documentary,Poetry (Shi),2010,Drama,0
360,590,4430,hook,1991,adventure|comedy|family|fantasy,Popcorn,1991,Horror,0
414,1908,1853,nothing to lose,1997,action|adventure|comedy|crime,"Alan Smithee Film: Burn Hollywood Burn, An",1997,Comedy,0
420,2582,1853,steel,1997,action|crime|sci-fi,"Alan Smithee Film: Burn Hollywood Burn, An",1997,Comedy,0
444,4699,1853,hav plenty,1997,comedy,"Alan Smithee Film: Burn Hollywood Burn, An",1997,Comedy,0
456,116,39183,harry potter and the goblet of fire,2005,adventure|family|fantasy|mystery,Brokeback Mountain,2005,Drama|Romance,0
462,256,39183,mr. & mrs. smith,2005,action|comedy|crime|romance|thriller,Brokeback Mountain,2005,Drama|Romance,0
476,818,39183,just like heaven,2005,comedy|fantasy|romance,Brokeback Mountain,2005,Drama|Romance,0
487,1171,39183,lord of war,2005,crime|drama|thriller,Brokeback Mountain,2005,Drama|Romance,0
488,1274,39183,rent,2005,drama|musical|romance,Brokeback Mountain,2005,Drama|Romance,0
520,2398,39183,the exorcism of emily rose,2005,drama|horror|thriller,Brokeback Mountain,2005,Drama|Romance,0
522,2598,39183,slow burn,2005,drama|mystery|thriller,Brokeback Mountain,2005,Drama|Romance,0
532,3229,39183,edmond,2005,drama|thriller,Brokeback Mountain,2005,Drama|Romance,0
538,3439,39183,thank you for smoking,2005,comedy|drama,Brokeback Mountain,2005,Drama|Romance,0
558,4278,39183,harsh times,2005,action|crime|drama|thriller,Brokeback Mountain,2005,Drama|Romance,0
565,4441,39183,fetching cody,2005,drama|fantasy|romance,Brokeback Mountain,2005,Drama|Romance,0
566,4472,39183,neal 'n' nikki,2005,comedy|musical|romance,Brokeback Mountain,2005,Drama|Romance,0
567,4606,39183,the helix... loaded,2005,action|adventure|comedy|fantasy|sci-fi,Brokeback Mountain,2005,Drama|Romance,0
581,4992,39183,the call of cthulhu,2005,fantasy|horror|mystery|thriller,Brokeback Mountain,2005,Drama|Romance,0
582,5006,39183,mutual appreciation,2005,comedy,Brokeback Mountain,2005,Drama|Romance,0
584,5035,39183,cavite,2005,thriller,Brokeback Mountain,2005,Drama|Romance,0
606,511,103816,journey 2: the mysterious island,2012,action|adventure|comedy|family|fantasy|sci-fi,"Battery, The",2012,Drama|Horror,0
611,826,103816,red tails,2012,action|adventure|drama|history|war,"Battery, The",2012,Drama|Horror,0
